iter	RMSE
0	11623.77087
1	11166.57152
2	10735.06579
3	10332.35178
4	9954.426821
5	9599.145412
6	9261.792044
7	8935.21304
8	8636.392058
9	8347.704799
10	8081.501134
11	7827.818239
12	7590.149783
13	7378.515676
14	7170.065631
15	6977.255323
16	6791.86135
17	6610.920762
18	6454.609114
19	6301.288291
20	6156.821832
21	6028.756294
22	5906.688327
23	5786.770999
24	5679.400252
25	5576.593112
26	5479.043301
27	5392.436162
28	5312.017097
29	5234.168521
30	5169.68201
31	5103.686606
32	5040.561595
33	4989.17182
34	4936.999782
35	4887.852969
36	4839.986939
37	4800.354125
38	4760.066058
39	4720.238277
40	4684.454291
41	4653.384756
42	4622.356051
43	4593.525998
44	4568.06043
45	4542.106972
46	4521.565993
47	4498.889507
48	4477.636334
49	4456.408361
50	4437.256544
51	4422.669969
52	4409.092405
53	4394.997721
54	4379.419469
55	4374.06418
56	4357.859304
57	4347.331412
58	4341.146741
59	4328.755458
60	4320.753832
61	4311.394727
62	4301.662302
63	4291.39543
64	4280.632349
65	4273.132495
66	4262.232856
67	4251.774486
68	4244.911477
69	4237.767388
70	4231.772377
71	4227.052519
72	4219.614666
73	4213.678897
74	4205.65457
75	4200.309159
76	4192.132722
77	4185.750091
78	4180.287981
79	4177.430324
80	4170.539123
81	4164.741059
82	4160.02714
83	4156.043471
84	4149.544321
85	4144.202743
86	4136.757633
87	4132.691569
88	4127.933059
89	4123.553849
90	4120.780126
91	4113.920088
92	4109.838715
93	4105.264171
94	4099.329393
95	4097.213141
96	4092.887048
97	4090.388318
98	4087.509487
99	4083.22737
100	4079.235057
101	4076.229292
102	4072.156105
103	4069.62853
104	4065.011981
105	4062.969374
106	4060.680134
107	4058.101129
108	4056.492565
109	4050.856249
110	4045.043283
111	4043.192979
112	4039.511804
113	4037.271715
114	4032.297889
115	4026.861664
116	4024.017291
117	4020.510787
118	4016.638291
119	4012.772054
120	4010.93395
121	4008.378992
122	4006.390279
123	4002.868469
124	3999.115478
125	3990.925339
126	3989.147741
127	3985.827352
128	3982.255123
129	3980.343203
130	3977.925166
131	3972.430169
132	3968.018872
133	3963.389256
134	3961.545234
135	3956.729349
136	3952.014423
137	3951.266276
138	3945.982451
139	3937.968296
140	3936.19459
141	3932.89293
142	3929.037702
143	3925.712817
144	3921.622913
145	3918.113722
146	3911.169491
147	3910.205286
148	3907.686297
149	3903.749791
150	3897.951129
151	3892.828976
152	3887.843211
153	3884.235078
154	3880.702141
155	3878.402276
156	3874.196948
157	3870.931941
158	3863.302368
159	3861.202648
160	3858.848726
161	3856.174988
162	3851.801889
163	3847.483956
164	3842.10435
165	3837.941941
166	3835.082735
167	3831.770362
168	3829.337897
169	3826.231589
170	3823.605953
171	3822.08112
172	3817.210363
173	3813.550863
174	3805.415669
175	3802.578273
176	3798.590531
177	3793.93962
178	3792.397671
179	3790.117145
180	3786.107786
181	3783.479518
182	3781.278056
183	3777.59717
184	3773.800308
185	3769.657531
186	3767.79365
187	3766.223786
188	3763.503023
189	3759.842392
190	3758.105706
191	3750.671909
192	3746.872556
193	3745.191236
194	3741.404654
195	3738.363553
196	3733.374724
197	3725.4348
198	3719.51724
199	3714.841613
200	3711.231327
201	3709.284852
202	3706.265182
203	3702.959649
204	3700.0491
205	3695.545075
206	3692.766039
207	3689.214755
208	3688.09815
209	3684.976682
210	3681.751452
211	3679.901759
212	3676.073758
213	3673.085666
214	3668.697604
215	3666.936393
216	3665.307238
217	3663.49625
218	3659.31676
219	3655.721371
220	3653.594521
221	3651.782618
222	3649.363654
223	3645.690086
224	3642.10602
225	3637.28737
226	3631.590106
227	3629.121061
228	3626.791137
229	3623.30729
230	3620.520593
231	3619.013409
232	3617.084661
233	3613.373942
234	3611.4725
235	3607.415921
236	3605.000253
237	3602.490715
238	3600.872156
239	3596.496316
240	3594.253764
241	3591.020603
242	3589.031593
243	3586.58903
244	3583.668226
245	3578.811337
246	3576.136627
247	3575.255111
248	3573.070995
249	3568.651397
250	3566.205046
251	3561.390609
252	3560.397899
253	3556.262507
254	3552.36574
255	3550.726528
256	3548.486054
257	3546.129858
258	3542.605099
259	3538.075615
260	3533.426996
261	3532.23633
262	3528.76287
263	3525.332317
264	3522.365374
265	3521.610989
266	3514.952501
267	3514.854963
268	3513.639764
269	3510.393235
270	3507.39944
271	3502.678418
272	3500.253067
273	3495.97878
274	3495.263231
275	3493.120777
276	3490.708336
277	3488.014755
278	3487.375513
279	3485.150721
280	3483.925851
281	3481.59441
282	3480.012343
283	3476.561161
284	3472.54553
285	3471.072113
286	3468.0793
287	3466.088719
288	3463.888293
289	3460.28018
290	3457.056145
291	3454.432834
292	3450.605435
293	3450.085893
294	3447.512935
295	3445.027864
296	3439.66833
297	3436.804042
298	3434.355758
299	3429.521142
300	3426.337905
301	3423.949512
302	3420.83001
303	3417.833304
304	3415.569217
305	3413.055911
306	3411.419681
307	3409.812056
308	3408.523376
309	3405.708985
310	3403.861809
311	3401.691508
312	3400.092559
313	3396.382488
314	3393.470155
315	3390.504855
316	3387.389289
317	3385.346871
318	3382.375387
319	3377.410075
320	3375.44833
321	3373.713368
322	3371.994028
323	3371.344956
324	3369.737289
325	3366.685303
326	3362.786095
327	3360.738203
328	3359.702483
329	3356.904269
330	3354.47095
331	3351.668633
332	3350.126316
333	3347.313922
334	3345.050911
335	3343.301129
336	3341.64685
337	3339.647027
338	3338.600989
339	3336.624326
340	3332.480278
341	3329.111221
342	3326.721947
343	3323.431069
344	3321.930795
345	3318.994373
346	3317.40694
347	3314.005989
348	3311.55312
349	3308.975227
350	3306.622568
351	3305.705845
352	3300.826771
353	3300.269722
354	3298.827739
355	3296.955716
356	3294.724331
